epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.56,1.53465,2.57608,1.77841,0.09907,0.2721,0.07824,0.03464,2.21458,5.93892,2.58324,0.000331746,0.000331746,0.000331746
2,369.713,1.72357,2.59132,1.91744,0.36073,0.28362,0.18869,0.09803,2.29997,4.6813,2.75554,0.000651911,0.000651911,0.000651911
3,545.57,1.72563,2.59107,1.91594,0.46523,0.32002,0.25462,0.12426,2.07845,4.11638,2.34938,0.000958876,0.000958876,0.000958876
4,726.458,1.6674,2.5086,1.86717,0.4338,0.30649,0.25721,0.16762,1.94908,3.70501,2.20325,0.0009406,0.0009406,0.0009406
5,906.157,1.58622,2.36932,1.79353,0.33016,0.44416,0.35145,0.24378,1.80938,2.59699,2.07056,0.0009208,0.0009208,0.0009208
6,1086.12,1.54752,2.27257,1.77386,0.63313,0.39117,0.40613,0.28893,1.82173,2.69132,2.12562,0.000901,0.000901,0.000901
7,1266.54,1.47018,2.14526,1.6979,0.44887,0.41329,0.4096,0.2868,1.68556,2.42963,1.94201,0.0008812,0.0008812,0.0008812
8,1441.15,1.45461,2.11721,1.68044,0.57856,0.45486,0.46791,0.34849,1.58088,2.36887,1.82556,0.0008614,0.0008614,0.0008614
9,1615.41,1.42227,2.04833,1.66472,0.52713,0.45474,0.47464,0.35048,1.57221,2.19624,1.81469,0.0008416,0.0008416,0.0008416
10,1792.67,1.37963,1.97035,1.64576,0.49576,0.51046,0.48672,0.34319,1.56707,2.10956,1.83112,0.0008218,0.0008218,0.0008218
11,1966.95,1.37103,1.93766,1.61623,0.49483,0.4883,0.48245,0.34252,1.54315,2.06214,1.76508,0.000802,0.000802,0.000802
12,2141.2,1.3526,1.88901,1.5981,0.50674,0.52372,0.53008,0.39466,1.52456,1.98469,1.76597,0.0007822,0.0007822,0.0007822
13,2320.45,1.32221,1.83147,1.58471,0.56656,0.53955,0.53312,0.4019,1.4532,1.93188,1.70743,0.0007624,0.0007624,0.0007624
14,2501.05,1.2908,1.77735,1.55339,0.55139,0.54855,0.5669,0.43077,1.40616,1.79656,1.64252,0.0007426,0.0007426,0.0007426
15,2676.51,1.27495,1.75333,1.54195,0.51134,0.5489,0.55766,0.43034,1.42178,1.87108,1.67564,0.0007228,0.0007228,0.0007228
16,2851.34,1.25935,1.72504,1.54645,0.65753,0.54062,0.57852,0.44375,1.39216,1.76769,1.63475,0.000703,0.000703,0.000703
17,3025.99,1.24451,1.6774,1.51847,0.57541,0.58245,0.57306,0.43073,1.42055,1.75697,1.66163,0.0006832,0.0006832,0.0006832
